year,Gangnam,Gangseo,Gwanak,Geumcheon,Nowon,Dongjak,Mapo,Seocho,Seongdong,Songpa,Youngdeungpo,Yongsan,Jongro,Joong,Joongrang
2005,28,19,25,15,20,12,27,26,13,27,32,20,24,13,11
2006,37,24,12,10,16,23,22,23,15,26,28,14,15,16,14
2007,30,19,18,14,26,16,24,21,16,17,35,20,12,12,20
2008,25,22,13,14,22,10,12,17,17,30,36,19,23,13,17
2009,27,15,14,21,21,16,29,24,13,22,33,20,18,12,15
2010,31,21,16,12,25,13,22,20,15,16,30,15,19,7,17
2011,36,16,17,10,14,13,23,17,21,36,28,9,14,13,12
2012,25,25,20,21,13,14,23,25,7,14,32,11,12,12,11
2013,31,26,20,10,13,11,23,19,8,21,29,13,13,10,9
2014,17,32,22,13,17,13,20,13,11,24,26,8,11,7,11