year	region	events	killed	injured
2008	합계	3481	59	6137
2008	종로구	91	2	178
2008	중구	76	2	130
2008	용산구	85	3	150
2008	성동구	64	0	120
2008	광진구	143	1	253
2008	동대문구	133	6	240
2008	중랑구	157	2	266
2008	성북구	119	2	187
2008	강북구	116	4	181
2008	도봉구	72	2	152
2008	노원구	141	5	233
2008	은평구	128	0	210
2008	서대문구	85	1	140
2008	마포구	187	1	330
2008	양천구	130	4	214
2008	강서구	189	0	328
2008	구로구	149	2	274
2008	금천구	96	3	168
2008	영등포구	176	3	310
2008	동작구	65	3	108
2008	관악구	167	3	275
2008	서초구	173	0	330
2008	강남구	375	4	687
2008	송파구	220	1	413
2008	강동구	144	5	260
2009	합계	3529	51	6433
2009	종로구	101	3	190
2009	중구	68	0	118
2009	용산구	98	1	178
2009	성동구	90	2	171
2009	광진구	138	2	269
2009	동대문구	129	3	212
2009	중랑구	142	1	255
2009	성북구	146	0	258
2009	강북구	106	2	183
2009	도봉구	91	4	180
2009	노원구	159	6	288
2009	은평구	110	2	190
2009	서대문구	85	3	156
2009	마포구	166	2	315
2009	양천구	149	1	261
2009	강서구	157	2	296
2009	구로구	148	1	263
2009	금천구	97	0	178
2009	영등포구	185	2	333
2009	동작구	95	0	164
2009	관악구	128	1	217
2009	서초구	185	7	333
2009	강남구	418	2	813
2009	송파구	219	1	396
2009	강동구	119	3	216
2010	합계	3910	62	7159
2010	종로구	93	2	176
2010	중구	76	0	140
2010	용산구	104	4	187
2010	성동구	85	3	146
2010	광진구	161	4	274
2010	동대문구	135	2	226
2010	중랑구	163	3	281
2010	성북구	132	0	229
2010	강북구	123	0	225
2010	도봉구	85	2	168
2010	노원구	189	4	334
2010	은평구	119	0	228
2010	서대문구	92	5	167
2010	마포구	217	4	408
2010	양천구	129	0	240
2010	강서구	158	1	263
2010	구로구	171	4	295
2010	금천구	121	4	222
2010	영등포구	217	1	411
2010	동작구	95	2	160
2010	관악구	178	0	339
2010	서초구	215	6	421
2010	강남구	463	9	881
2010	송파구	267	1	511
2010	강동구	122	1	227
2011	합계	3700	49	6817
2011	종로구	75	1	148
2011	중구	74	1	139
2011	용산구	118	1	208
2011	성동구	99	1	187
2011	광진구	160	4	280
2011	동대문구	130	0	235
2011	중랑구	115	1	204
2011	성북구	110	2	188
2011	강북구	85	0	183
2011	도봉구	71	2	129
2011	노원구	128	2	246
2011	은평구	105	1	196
2011	서대문구	92	1	149
2011	마포구	176	2	328
2011	양천구	106	4	187
2011	강서구	164	1	311
2011	구로구	193	3	328
2011	금천구	119	4	217
2011	영등포구	231	1	450
2011	동작구	117	1	188
2011	관악구	167	2	289
2011	서초구	223	4	407
2011	강남구	478	5	933
2011	송파구	251	3	451
2011	강동구	113	2	236
2012	합계	3819	41	7033
2012	종로구	89	1	176
2012	중구	84	1	159
2012	용산구	99	1	202
2012	성동구	100	1	179
2012	광진구	167	3	305
2012	동대문구	143	2	265
2012	중랑구	114	1	223
2012	성북구	101	1	160
2012	강북구	100	0	170
2012	도봉구	78	2	141
2012	노원구	125	0	240
2012	은평구	109	2	182
2012	서대문구	94	1	163
2012	마포구	167	3	328
2012	양천구	118	1	234
2012	강서구	161	1	283
2012	구로구	209	5	385
2012	금천구	124	2	229
2012	영등포구	215	0	403
2012	동작구	124	0	212
2012	관악구	134	1	218
2012	서초구	253	3	515
2012	강남구	522	4	970
2012	송파구	284	2	504
2012	강동구	105	3	187
2013	합계	3550	39	6535
2013	종로구	86	2	136
2013	중구	68	0	122
2013	용산구	131	4	227
2013	성동구	94	0	160
2013	광진구	138	2	255
2013	동대문구	119	1	195
2013	중랑구	114	1	195
2013	성북구	118	1	188
2013	강북구	79	0	156
2013	도봉구	75	1	116
2013	노원구	114	4	209
2013	은평구	86	0	132
2013	서대문구	67	0	149
2013	마포구	214	1	428
2013	양천구	119	2	242
2013	강서구	158	1	284
2013	구로구	175	0	322
2013	금천구	104	2	203
2013	영등포구	174	1	337
2013	동작구	111	1	187
2013	관악구	149	1	262
2013	서초구	229	2	470
2013	강남구	468	5	910
2013	송파구	249	2	452
2013	강동구	111	5	198
2014	합계	3361	30	6039
2014	종로구	74	0	138
2014	중구	64	2	98
2014	용산구	108	1	199
2014	성동구	121	1	245
2014	광진구	150	1	291
2014	동대문구	122	3	210
2014	중랑구	106	1	186
2014	성북구	103	2	174
2014	강북구	94	1	161
2014	도봉구	56	2	90
2014	노원구	103	3	161
2014	은평구	79	1	142
2014	서대문구	84	0	120
2014	마포구	187	0	364
2014	양천구	128	0	247
2014	강서구	150	1	279
2014	구로구	157	1	266
2014	금천구	97	2	187
2014	영등포구	193	0	338
2014	동작구	72	0	118
2014	관악구	124	2	213
2014	서초구	212	0	398
2014	강남구	426	0	766
2014	송파구	241	4	436
2014	강동구	110	2	212