over 71,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
종로구,6,2,3,4,3,5,4,1,3,3,
중구,2,2,3,2,5,1,-,2,3,1,
용산구,-,1,1,1,2,3,1,2,2,1,
성동구,-,3,5,3,-,2,4,-,3,4,
광진구,3,1,3,3,3,2,5,6,-,2,
동대문구,2,8,5,9,4,7,3,5,3,7,
중랑구,-,1,8,4,3,4,1,2,2,2,
성북구,5,4,2,4,5,6,5,6,6,3,
강북구,3,1,3,1,1,1,2,1,6,6,
도봉구,-,1,-,5,3,3,3,2,6,4,
노원구,8,1,6,2,6,6,3,3,1,6,
은평구,3,2,3,2,5,5,10,2,2,2,
서대문구,3,4,4,5,9,3,3,2,5,5,
마포구,3,4,3,1,5,3,3,6,7,3,
양천구,1,2,1,6,3,2,3,4,3,4,
강서구,6,3,5,4,5,4,2,3,3,7,
구로구,5,5,2,4,4,1,5,2,7,6,
금천구,-,2,1,3,3,-,-,2,2,4,
영등포구,5,3,3,5,2,6,4,12,7,5,
동작구,1,2,3,-,3,4,3,2,1,4,
관악구,4,1,5,2,5,5,5,6,6,8,
서초구,1,2,4,3,5,4,4,7,4,1,
강남구,2,7,2,1,3,-,1,1,4,5,
송파구,-,1,2,3,2,3,7,2,4,6,
강동구,7,3,4,1,2,2,4,3,-,6,
,,,,,,,,,,,
,,,,,,,,,,,