year,Jongrogu,Junggu,Yongsangu,Seongdonggu,Gwangjingu,Dongdaemungu,Jungnanggu,Seongbukgu,Gangbukgu,Dobonggu,Nowongu,Eunpyeonggu,Seodaemungu,Mapogu,Yangcheongu,Gangseogu,Gurogu,Geumcheongu,Yeongdeungpogu,Dongjakgu,Gwanakgu,Seochogu,Gangnamgu,Songpagu,Gangdonggu
2005,4,3,10,7,8,2,3,6,3,2,3,2,4,8,9,7,8,3,11,3,5,7,12,12,4
2006,6,7,7,6,3,8,1,3,1,3,7,6,4,7,2,5,3,2,10,5,5,6,11,4,1
2007,4,5,5,5,3,6,4,1,3,1,3,5,1,6,4,5,3,7,11,4,3,9,12,7,3
2008,8,3,8,7,3,9,5,4,6,5,7,2,3,4,3,4,7,4,8,2,5,4,13,12,6
2009,5,0,10,7,8,8,2,3,6,3,6,4,8,4,4,2,2,3,10,7,4,4,6,12,4
2010,3,3,5,4,7,3,1,0,2,2,3,5,3,10,4,2,6,5,6,6,4,5,12,5,2
2011,1,4,5,5,4,4,3,5,2,6,1,2,4,5,3,7,4,1,6,3,6,7,13,8,3
2012,2,2,4,2,1,4,2,1,0,1,1,3,5,6,4,6,10,2,8,4,3,4,6,4,3
2013,4,2,4,0,2,2,3,1,0,0,7,2,4,6,3,3,1,3,7,4,6,6,12,5,4
2014,3,2,2,5,3,5,2,6,3,2,1,1,2,4,2,8,2,3,0,2,5,1,4,2,2