date	meal	value
01	1	5
01	2	5
01	3	1
02	1	5
02	2	5
02	3	1
03	1	5
03	2	5
03	3	1
04	1	5
04	2	5
04	3	5
05	1	1
05	2	5
05	3	5
06	1	5
06	2	5
06	3	5
07	1	5
07	2	1
07	3	5
08	1	5
08	2	5
08	3	5
09	1	1
09	2	5
09	3	5
10	1	1
10	2	1
10	3	5
11	1	5
11	2	5
11	3	5
12	1	1
12	2	5
12	3	5
13	1	5
13	2	5
13	3	5
14	1	5
14	2	5
14	3	5
15	1	5
15	2	5
15	3	5
16	1	1
16	2	5
16	3	5
17	1	1
17	2	5
17	3	5
18	1	5
18	2	5
18	3	5
19	1	1
19	2	5
19	3	5
20	1	5
20	2	5
20	3	5
21	1	5
21	2	5
21	3	5
22	1	1
22	2	1
22	3	5
23	1	1
23	2	5
23	3	5
24	1	5
24	2	5
24	3	5
25	1	5
25	2	5
25	3	5
26	1	1
26	2	1
26	3	5
27	1	1
27	2	5
27	3	5
28	1	5
28	2	5
28	3	5
29	1	1
29	2	5
29	3	1
30	1	1
30	2	5
30	3	5