day	hour	value
1	1	54.2
1	2	55.5
1	3	54.6
1	4	52.3
1	5	51.4
1	6	52.7
1	7	54.2
1	8	55.7
1	9	58.7
1	10	52.6
1	11	55.7
1	12	54.6
1	13	52.4
1	14	53.6
1	15	56.7
1	16	56
1	17	57.2
1	18	55.4
2	1	75.8
2	2	75.1
2	3	76.2
2	4	79.7
2	5	74.0
2	6	80.4
2	7	76.5
2	8	78.4
2	9	74.1
2	10	75.0
2	11	73.8
2	12	75.0
2	13	72.9
2	14	77.0
2	15	76.5
2	16	78.2
2	17	77.0
2	18	73.3
3	1	56.8
3	2	58.6
3	3	55.6
3	4	52.3
3	5	53.7
3	6	57.1
3	7	54
3	8	56.1
3	9	62.7
3	10	53.3
3	11	62.2
3	12	58.8
3	13	55.7
3	14	59.9
3	15	65.6
3	16	59.5
3	17	59.8
3	18	62.8
4	1	63
4	2	62.9
4	3	62.1
4	4	66.8
4	5	60.3
4	6	64.3
4	7	61.9
4	8	64.6
4	9	0
4	10	61.2
4	11	62.6
4	12	61.3
4	13	60.3
4	14	67.2
4	15	64.7
4	16	68.5
4	17	64.1
4	18	60.9
5	1	46.1
5	2	45.8
5	3	42.9
5	4	45.1
5	5	42.5
5	6	42.4
5	7	45.3
5	8	45.8
5	9	0
5	10	43.7
5	11	51.5
5	12	49.3
5	13	48.2
5	14	47.5
5	15	50.0
5	16	53.1
5	17	48.3
5	18	53.5
6	1	54.5
6	2	53.9
6	3	49.5
6	4	45.9
6	5	50.9
6	6	49.8
6	7	52.9
6	8	55.1
6	9	0
6	10	51.8
6	11	62.3
6	12	58.8
6	13	56.5
6	14	59.3
6	15	64.3
6	16	59.4
6	17	61.8
6	18	65.1