subject,day,value
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,12788
1,12,11782
1,13,10182
1,14,17250
1,15,12610
1,16,17704
1,17,12530
1,18,0
1,19,0
1,20,4801
1,21,9145
1,22,10566
2,1,1282
2,2,3084
2,3,3026
2,4,4956
2,5,6282
2,6,2936
2,7,8126
2,8,8394
2,9,6526
2,10,8780
2,11,8534
2,12,10622
2,13,11008
2,14,9990
2,15,9978
2,16,9430
2,17,13676
2,18,10992
2,19,11162
2,20,1712
2,21,0
2,22,0
3,1,6653
3,2,11582
3,3,7052
3,4,12108
3,5,8275
3,6,11884
3,7,8645
3,8,14114
3,9,6741
3,10,11118
3,11,9683
3,12,12199
3,13,11264
3,14,4802
3,15,10970
3,16,13082
3,17,11618
3,18,9673
3,19,13737
3,20,8498
3,21,13216
3,22,13406
4,1,0
4,2,3348
4,3,4424
4,4,2512
4,5,5402
4,6,3906
4,7,10218
4,8,8034
4,9,2046
4,10,5380
4,11,2324
4,12,8544
4,13,2966
4,14,7856
4,15,8788
4,16,4308
4,17,8938
4,18,2542
4,19,4592
4,20,6476
4,21,10516
4,22,7826
5,1,13818
5,2,3348
5,3,4424
5,4,2512
5,5,5402
5,6,3906
5,7,10218
5,8,8034
5,9,2046
5,10,5380
5,11,2324
5,12,11280
5,13,14058
5,14,12508
5,15,10448
5,16,8150
5,17,12696
5,18,15432
5,19,20032
5,20,17504
5,21,10262
5,22,15252
6,1,2514
6,2,14618
6,3,1924
6,4,12594
6,5,14428
6,6,12172
6,7,6966
6,8,12662
6,9,10820
6,10,16104
6,11,12362
6,12,13404
6,13,13682
6,14,9170
6,15,18140
6,16,14236
6,17,16446
6,18,13432
6,19,13058
6,20,14544
6,21,9998
6,22,6888